"species","p","s","v","cluster","label"
"Chrysiptera cyanea",2.71,1.682426006,0.739822889,"3","Least Vulnerable"
"Signigobius biocellatus",2.71,1.682426006,0.739822889,"3","Least Vulnerable"
"Stegastes fasciolatus",2.71,1.668510441,0.727006783,"3","Least Vulnerable"
"Amphiprion perideraion",2.86,1.682426006,0.697218342,"3","Least Vulnerable"
"Amphiprion ocellaris",2.86,1.682426006,0.697218342,"3","Least Vulnerable"
"Valenciennea wardii",2.71,1.629498222,0.691303598,"3","Least Vulnerable"
"Halichoeres chrysus",2.57,1.533674687,0.684457552,"3","Least Vulnerable"
"Nemateleotris magnifica",2.57,1.533674687,0.684457552,"3","Least Vulnerable"
"Abudefduf vaigiensis",2.57,1.533674687,0.684457552,"3","Least Vulnerable"
"Neoglyphidodon melas",2.71,1.608311908,0.672068471,"3","Least Vulnerable"
"Amblyglyphidodon ternatensis",2.71,1.608311908,0.672068471,"3","Least Vulnerable"
"Pomacentrus moluccensis",2.57,1.489095325,0.650298167,"3","Least Vulnerable"
"Halichoeres chloropterus",2.57,1.489095325,0.650298167,"3","Least Vulnerable"
"Cirrhilabrus lubbocki",2.57,1.469734492,0.635864736,"3","Least Vulnerable"
"Acanthurus pyroferus",2.71,1.557715694,0.626641404,"3","Least Vulnerable"
"Pseudanthias pleurotaenia",2.71,1.557715694,0.626641404,"3","Least Vulnerable"
"Amblyglyphidodon curacao",2.71,1.489095325,0.566433482,"3","Least Vulnerable"
"Chrysiptera rex",2.71,1.489095325,0.566433482,"3","Least Vulnerable"
"Dascyllus melanurus",2.71,1.489095325,0.566433482,"3","Least Vulnerable"
"Siganus vulpinus",2.71,1.489095325,0.566433482,"3","Least Vulnerable"
"Chromis viridis",2.71,1.489095325,0.566433482,"3","Least Vulnerable"
"Dascyllus aruanus",2.71,1.489095325,0.566433482,"3","Least Vulnerable"
"Cirrhilabrus cyanopleura",2.57,1.319507911,0.534564098,"3","Least Vulnerable"
"Pomacentrus amboinensis",2.57,1.276518007,0.510034977,"3","Least Vulnerable"
"Neoglyphidodon nigroris",2.71,1.378715705,0.474403034,"3","Least Vulnerable"
"Dascyllus trimaculatus",2.71,1.378715705,0.474403034,"3","Least Vulnerable"
"Labroides dimidiatus",2.71,1.378715705,0.474403034,"3","Least Vulnerable"
"Pseudanthias squamipinnis",2.71,1.378715705,0.474403034,"3","Least Vulnerable"
"Dascyllus reticulatus",2.71,1.378715705,0.474403034,"3","Least Vulnerable"
"Chrysiptera talboti",2.71,1.276518007,0.397611445,"3","Least Vulnerable"
